source,path,status,context,kind,bytes,sha256
blood_growth_graphvelo_moscot_v2/results/figures/exploratory_cell_level_candidate_markers.pdf,original_figures/blood_growth_graphvelo_moscot_v2/results/figures/exploratory_cell_level_candidate_markers.pdf,CURRENT / READ WITH CORRECTED AUDITS,Native M0/M1; cell-level marker plots are exploratory. Use corrected directional evidence and support gates for interpretation.,standalone_figure,25008,aee724b9e393e5735b0d8a58cc1ccf5262480cd942581f79acfb5c1b7b6a57e4
blood_growth_graphvelo_moscot_v2/results/figures/moscot_M1_conditional_fate_heatmaps.pdf,original_figures/blood_growth_graphvelo_moscot_v2/results/figures/moscot_M1_conditional_fate_heatmaps.pdf,CURRENT / READ WITH CORRECTED AUDITS,Native M0/M1; cell-level marker plots are exploratory. Use corrected directional evidence and support gates for interpretation.,standalone_figure,36821,1ff90facecfa32ddb6afef5e3789896d53c76a9578739812eeb222d0f90dc7ba
blood_growth_graphvelo_moscot_v2/results/figures/official_fine_type_pca_state_space.pdf,original_figures/blood_growth_graphvelo_moscot_v2/results/figures/official_fine_type_pca_state_space.pdf,CURRENT / READ WITH CORRECTED AUDITS,Native M0/M1; cell-level marker plots are exploratory. Use corrected directional evidence and support gates for interpretation.,standalone_figure,497252,51b26cca3019b654303521865d5e10d9629cfe353b9ff28f51d3ec5aaad1fccf
blood_growth_graphvelo_moscot_v2/results/figures/velocity_agreement_by_proliferation_quartile.pdf,original_figures/blood_growth_graphvelo_moscot_v2/results/figures/velocity_agreement_by_proliferation_quartile.pdf,CURRENT / READ WITH CORRECTED AUDITS,Native M0/M1; cell-level marker plots are exploratory. Use corrected directional evidence and support gates for interpretation.,standalone_figure,14247,f8215513774a0a7f86dbcbfb3e5c0206ee6c895baf20d90f0354cb9608a3e46f
cross_species_validation/figures/01_dataset_audit.pdf,original_figures/cross_species_validation/figures/01_dataset_audit.pdf,CURRENT EXPRESSION-PROGRAM VALIDATION,"Human comparisons test expression programs, not fate, velocity or absolute growth.",standalone_figure,15738,b1e3ca0f58191b42f191763c607ca81f43ffe825f2c90e0f5afee42f00f63354
cross_species_validation/figures/02_apoptosis_pseudobulks.pdf,original_figures/cross_species_validation/figures/02_apoptosis_pseudobulks.pdf,CURRENT EXPRESSION-PROGRAM VALIDATION,"Human comparisons test expression programs, not fate, velocity or absolute growth.",standalone_figure,14343,b30cb19f4bfe8688128c5945acfc1447cef558ded5429e63991fa2f12f20e7ad
cross_species_validation/figures/02_proliferation_pseudobulks.pdf,original_figures/cross_species_validation/figures/02_proliferation_pseudobulks.pdf,CURRENT EXPRESSION-PROGRAM VALIDATION,"Human comparisons test expression programs, not fate, velocity or absolute growth.",standalone_figure,14542,3ac596a2e32e6a2a906e2f22634fa08b462c9a685588b4131969ebfd57f8bdbd
cross_species_validation/figures/03_zebrafish_popescu_proliferation_profile.pdf,original_figures/cross_species_validation/figures/03_zebrafish_popescu_proliferation_profile.pdf,CURRENT EXPRESSION-PROGRAM VALIDATION,"Human comparisons test expression programs, not fate, velocity or absolute growth.",standalone_figure,22496,c6ff1eefada28bba6064a440222cdc8722d0d8e89c20b8f7f013486fc6cfb0df
cross_species_validation/figures/04_replicate_proliferation_time.pdf,original_figures/cross_species_validation/figures/04_replicate_proliferation_time.pdf,CURRENT EXPRESSION-PROGRAM VALIDATION,"Human comparisons test expression programs, not fate, velocity or absolute growth.",standalone_figure,20137,f328b585472f81b3e0956a9efe88d3e75ae1948d49f15b2665ece85b0ca0fb9f
cross_species_validation/figures/05_popescu_gse_hspc_gene_slopes.pdf,original_figures/cross_species_validation/figures/05_popescu_gse_hspc_gene_slopes.pdf,CURRENT EXPRESSION-PROGRAM VALIDATION,"Human comparisons test expression programs, not fate, velocity or absolute growth.",standalone_figure,17303,3803dbe314938dbc0d8a7762f627fc187ab938994b5c48087c7791a8b39bfce0
blood_graphvelo_official/results/figures/data_driven_candidate_markers.pdf,original_figures/blood_graphvelo_official/results/figures/data_driven_candidate_markers.pdf,HISTORICAL / SUPERSEDED,Earlier combined transport/velocity and trajectory analyses. These do not define the current native M0/M1 conclusions.,standalone_figure,25008,8db076531d024571e4149122ebd8cd812db3b206ff7859df21446b6880331121
blood_graphvelo_official/results/figures/hspc_combined_pushforward_fates.pdf,original_figures/blood_graphvelo_official/results/figures/hspc_combined_pushforward_fates.pdf,HISTORICAL / SUPERSEDED,Earlier combined transport/velocity and trajectory analyses. These do not define the current native M0/M1 conclusions.,standalone_figure,16076,0e0f8f34293ee67ca872b19977a918340254adbf568e03d277a224c2a0b378e7
blood_graphvelo_official/results/figures/moscot_graphvelo_real_time_velocity_quiver.pdf,original_figures/blood_graphvelo_official/results/figures/moscot_graphvelo_real_time_velocity_quiver.pdf,HISTORICAL / SUPERSEDED,Earlier combined transport/velocity and trajectory analyses. These do not define the current native M0/M1 conclusions.,standalone_figure,438216,769de954766da037c5ca73e44a188fae866996ff35de8bab67e6746adcf86fe3
blood_graphvelo_official/results/figures/moscot_graphvelo_type_transition_heatmaps.pdf,original_figures/blood_graphvelo_official/results/figures/moscot_graphvelo_type_transition_heatmaps.pdf,HISTORICAL / SUPERSEDED,Earlier combined transport/velocity and trajectory analyses. These do not define the current native M0/M1 conclusions.,standalone_figure,42950,91f7d086b1689ea6524e522480cc340101b332cbae8311430dc28088de653459
blood_graphvelo_official/results/figures/moscot_vs_combined_directional_diagnostics.pdf,original_figures/blood_graphvelo_official/results/figures/moscot_vs_combined_directional_diagnostics.pdf,HISTORICAL / SUPERSEDED,Earlier combined transport/velocity and trajectory analyses. These do not define the current native M0/M1 conclusions.,standalone_figure,19359,e4ae88fd91855e006eae9003dfaced2730a43546ba6025e8205c084531ade13e
blood_graphvelo_official/results/figures/moscot_vs_combined_directional_diagnostics.png,original_figures/blood_graphvelo_official/results/figures/moscot_vs_combined_directional_diagnostics.png,HISTORICAL / SUPERSEDED,Earlier combined transport/velocity and trajectory analyses. These do not define the current native M0/M1 conclusions.,standalone_figure,213943,3f5331cb40e9c8a5a5a7e073c4648bb1d3b81d6fa7fcaa04aa3cfa7f1542ada5
blood_graphvelo_official/results/figures/official_fine_type_lineage_network.pdf,original_figures/blood_graphvelo_official/results/figures/official_fine_type_lineage_network.pdf,HISTORICAL / SUPERSEDED,Earlier combined transport/velocity and trajectory analyses. These do not define the current native M0/M1 conclusions.,standalone_figure,20288,b918da8cf98c1cb343daf9775c86af1836e24de5eb0c20e7064dfe441cb810f4
blood_graphvelo_official/results/figures/official_fine_type_marker_validation.pdf,original_figures/blood_graphvelo_official/results/figures/official_fine_type_marker_validation.pdf,HISTORICAL / SUPERSEDED,Earlier combined transport/velocity and trajectory analyses. These do not define the current native M0/M1 conclusions.,standalone_figure,21983,d0cb1aba55949544f73695edc59375a8dae0ae61313683a7314d63348fcff4ff
blood_graphvelo_official/results/figures/official_fine_type_pca_state_space.pdf,original_figures/blood_graphvelo_official/results/figures/official_fine_type_pca_state_space.pdf,HISTORICAL / SUPERSEDED,Earlier combined transport/velocity and trajectory analyses. These do not define the current native M0/M1 conclusions.,standalone_figure,497252,e7fac84444c4c18f01b71871697f092c0a8f711303cb45463c8529476143da60
blood_graphvelo_official/results/figures/official_label_ode_trajectories.pdf,original_figures/blood_graphvelo_official/results/figures/official_label_ode_trajectories.pdf,HISTORICAL / SUPERSEDED,Earlier combined transport/velocity and trajectory analyses. These do not define the current native M0/M1 conclusions.,standalone_figure,133674,b836458cc718f557feaf60f6ff3a8eeadf2b44c2e08a9324699a4cbf412389fe
archive/2026-09-01_legacy_mapping_and_M2/figures/M2_conditional_fate_heatmaps.pdf,original_figures/archive/2026-09-01_legacy_mapping_and_M2/figures/M2_conditional_fate_heatmaps.pdf,ARCHIVED / SUPERSEDED,"Earlier panels, M2 reweighting or cell-level marker inference; preserved to document unsuccessful/superseded approaches.",standalone_figure,43003,7116effe7638b8fa089c7cd03ab1a93686d851bca054857b83fb433e6ba30e15
archive/2026-09-10_cross_species_legacy_38_12/figures/01_dataset_audit.pdf,original_figures/archive/2026-09-10_cross_species_legacy_38_12/figures/01_dataset_audit.pdf,ARCHIVED / SUPERSEDED,"Earlier panels, M2 reweighting or cell-level marker inference; preserved to document unsuccessful/superseded approaches.",standalone_figure,15738,3ecf91b411209e473e19e280a1590ea415fc88335ffad0497863ab1247084ec4
archive/2026-09-10_cross_species_legacy_38_12/figures/02_apoptosis_pseudobulks.pdf,original_figures/archive/2026-09-10_cross_species_legacy_38_12/figures/02_apoptosis_pseudobulks.pdf,ARCHIVED / SUPERSEDED,"Earlier panels, M2 reweighting or cell-level marker inference; preserved to document unsuccessful/superseded approaches.",standalone_figure,15039,210c2fab423be1e327a4d925f2ab22a5bec54b55ef251483cecb63a5fce55dce
archive/2026-09-10_cross_species_legacy_38_12/figures/02_proliferation_pseudobulks.pdf,original_figures/archive/2026-09-10_cross_species_legacy_38_12/figures/02_proliferation_pseudobulks.pdf,ARCHIVED / SUPERSEDED,"Earlier panels, M2 reweighting or cell-level marker inference; preserved to document unsuccessful/superseded approaches.",standalone_figure,13884,1c042f480cebf953eca66e9fe6a71ffcc68a6d7bc6326a2d636f9ba682659136
archive/2026-09-10_cross_species_legacy_38_12/figures/03_zebrafish_popescu_proliferation_profile.pdf,original_figures/archive/2026-09-10_cross_species_legacy_38_12/figures/03_zebrafish_popescu_proliferation_profile.pdf,ARCHIVED / SUPERSEDED,"Earlier panels, M2 reweighting or cell-level marker inference; preserved to document unsuccessful/superseded approaches.",standalone_figure,17991,d46587b842d58a4408c09305b20ef3a0e8ca55592bddc4516d0b25c27d9d3118
archive/2026-09-10_cross_species_legacy_38_12/figures/04_replicate_proliferation_time.pdf,original_figures/archive/2026-09-10_cross_species_legacy_38_12/figures/04_replicate_proliferation_time.pdf,ARCHIVED / SUPERSEDED,"Earlier panels, M2 reweighting or cell-level marker inference; preserved to document unsuccessful/superseded approaches.",standalone_figure,19820,21f81407c97addce5261c0459cf5c7da49b2e430b03350e346d2daa8ba51cde4
archive/2026-09-10_cross_species_legacy_38_12/figures/05_popescu_gse_hspc_gene_slopes.pdf,original_figures/archive/2026-09-10_cross_species_legacy_38_12/figures/05_popescu_gse_hspc_gene_slopes.pdf,ARCHIVED / SUPERSEDED,"Earlier panels, M2 reweighting or cell-level marker inference; preserved to document unsuccessful/superseded approaches.",standalone_figure,15975,1585618d14771e9ebf61e5fb4361173ce602fa9fd243d37e46c4feced5a8be40
archive/2026-09-15_replaced_cell_level_marker_output/data_driven_candidate_markers.pdf,original_figures/archive/2026-09-15_replaced_cell_level_marker_output/data_driven_candidate_markers.pdf,ARCHIVED / SUPERSEDED,"Earlier panels, M2 reweighting or cell-level marker inference; preserved to document unsuccessful/superseded approaches.",standalone_figure,25008,058d2596fc8987f1e936c22f9441601605eaf513da3be1849bbdfedc98058654
cluster23_pilot_trajectories/actc1b_pilot_trajectory.png,original_figures/cluster23_pilot_trajectories/actc1b_pilot_trajectory.png,EXPLORATORY CLUSTER-23 PILOT,Cluster is not a lineage identity. Mixed blood/non-blood gene trajectories are exploratory and do not validate blood fate.,standalone_figure,263849,36ed242fb62b14551069076ff074c4bfadbf7562d5ac2301ebfb11acb3559cb8
cluster23_pilot_trajectories/actc1b_pilot_trajectory.svg,original_figures/cluster23_pilot_trajectories/actc1b_pilot_trajectory.svg,EXPLORATORY CLUSTER-23 PILOT,Cluster is not a lineage identity. Mixed blood/non-blood gene trajectories are exploratory and do not validate blood fate.,standalone_figure,90090,7437eaf62b61952cef0c2b07b2ebae13aed31d11854af2bd8b057e7a8f8f3429
cluster23_pilot_trajectories/actc1b_time_expression_manifold.png,original_figures/cluster23_pilot_trajectories/actc1b_time_expression_manifold.png,EXPLORATORY CLUSTER-23 PILOT,Cluster is not a lineage identity. Mixed blood/non-blood gene trajectories are exploratory and do not validate blood fate.,standalone_figure,355843,4c8a5b3001c211cea8f260d39e99ebd84b99b2bdf212be8a2866fa922894fcf9
cluster23_pilot_trajectories/actc1b_time_expression_manifold.svg,original_figures/cluster23_pilot_trajectories/actc1b_time_expression_manifold.svg,EXPLORATORY CLUSTER-23 PILOT,Cluster is not a lineage identity. Mixed blood/non-blood gene trajectories are exploratory and do not validate blood fate.,standalone_figure,345149,e106387fd374918e34588b254805725c4971288f750c3deffc032d44a0b5369d
cluster23_pilot_trajectories/alas2_time_expression_manifold.png,original_figures/cluster23_pilot_trajectories/alas2_time_expression_manifold.png,EXPLORATORY CLUSTER-23 PILOT,Cluster is not a lineage identity. Mixed blood/non-blood gene trajectories are exploratory and do not validate blood fate.,standalone_figure,556638,feb18830b64327813a91d4df47eb81841e41c9800f3edcab6c10a4e2e68b4806
cluster23_pilot_trajectories/alas2_time_expression_manifold.svg,original_figures/cluster23_pilot_trajectories/alas2_time_expression_manifold.svg,EXPLORATORY CLUSTER-23 PILOT,Cluster is not a lineage identity. Mixed blood/non-blood gene trajectories are exploratory and do not validate blood fate.,standalone_figure,454573,de4711cd446c6da70b478c74d3c3ebdff9f7c16f6811f140bd675e823780b843
cluster23_pilot_trajectories/cluster23_multigene_pilot_trajectory.png,original_figures/cluster23_pilot_trajectories/cluster23_multigene_pilot_trajectory.png,EXPLORATORY CLUSTER-23 PILOT,Cluster is not a lineage identity. Mixed blood/non-blood gene trajectories are exploratory and do not validate blood fate.,standalone_figure,247104,235bb895c750ccdc913ed8d2f6390e0db72cec698e47205f6fdadb12a538769b
cluster23_pilot_trajectories/cluster23_multigene_pilot_trajectory.svg,original_figures/cluster23_pilot_trajectories/cluster23_multigene_pilot_trajectory.svg,EXPLORATORY CLUSTER-23 PILOT,Cluster is not a lineage identity. Mixed blood/non-blood gene trajectories are exploratory and do not validate blood fate.,standalone_figure,211470,34fbafe86d54c591833a17a3fa31b7d6b0348285cb4dd6d881290a8c4d43c798
cluster23_pilot_trajectories/gata2a_pilot_trajectory.png,original_figures/cluster23_pilot_trajectories/gata2a_pilot_trajectory.png,EXPLORATORY CLUSTER-23 PILOT,Cluster is not a lineage identity. Mixed blood/non-blood gene trajectories are exploratory and do not validate blood fate.,standalone_figure,255191,b3f524a3f87211a6c2ea94d63e1b1e68271fa3d6a96edf2beff8dffac795a89c
cluster23_pilot_trajectories/gata2a_pilot_trajectory.svg,original_figures/cluster23_pilot_trajectories/gata2a_pilot_trajectory.svg,EXPLORATORY CLUSTER-23 PILOT,Cluster is not a lineage identity. Mixed blood/non-blood gene trajectories are exploratory and do not validate blood fate.,standalone_figure,89829,0032e1e375d10244106ecbcb99019fe867cbd6e1e895a978c16ab1f9fd982b0b
cluster23_pilot_trajectories/gata2a_time_expression_manifold.png,original_figures/cluster23_pilot_trajectories/gata2a_time_expression_manifold.png,EXPLORATORY CLUSTER-23 PILOT,Cluster is not a lineage identity. Mixed blood/non-blood gene trajectories are exploratory and do not validate blood fate.,standalone_figure,438462,52713e9c8ee7a934eef11c833f72198feba48286284630eb0b66586033e6e747
cluster23_pilot_trajectories/gata2a_time_expression_manifold.svg,original_figures/cluster23_pilot_trajectories/gata2a_time_expression_manifold.svg,EXPLORATORY CLUSTER-23 PILOT,Cluster is not a lineage identity. Mixed blood/non-blood gene trajectories are exploratory and do not validate blood fate.,standalone_figure,348365,0ad0eebe26cd37db1433dcc37846c144f3453299f4b83c50ca784b638bb69e61
cluster23_pilot_trajectories/hbae3_pilot_trajectory.png,original_figures/cluster23_pilot_trajectories/hbae3_pilot_trajectory.png,EXPLORATORY CLUSTER-23 PILOT,Cluster is not a lineage identity. Mixed blood/non-blood gene trajectories are exploratory and do not validate blood fate.,standalone_figure,266912,aef82c9ea8cbc6bd783020ccb57b1b0b0d44ed61b069db567b47fb6f3c358d16
cluster23_pilot_trajectories/hbae3_pilot_trajectory.svg,original_figures/cluster23_pilot_trajectories/hbae3_pilot_trajectory.svg,EXPLORATORY CLUSTER-23 PILOT,Cluster is not a lineage identity. Mixed blood/non-blood gene trajectories are exploratory and do not validate blood fate.,standalone_figure,87721,f489f4bb659cc82b3be3d997091a08f58e8fcfeb3403f253ce45c34a8fb9921b
cluster23_pilot_trajectories/hbae3_time_expression_manifold.png,original_figures/cluster23_pilot_trajectories/hbae3_time_expression_manifold.png,EXPLORATORY CLUSTER-23 PILOT,Cluster is not a lineage identity. Mixed blood/non-blood gene trajectories are exploratory and do not validate blood fate.,standalone_figure,633357,da12871250fe4ea36a57b8d5e4fa5ca6384b5d3d2aac1ac47265a6804f42129c
cluster23_pilot_trajectories/hbae3_time_expression_manifold.svg,original_figures/cluster23_pilot_trajectories/hbae3_time_expression_manifold.svg,EXPLORATORY CLUSTER-23 PILOT,Cluster is not a lineage identity. Mixed blood/non-blood gene trajectories are exploratory and do not validate blood fate.,standalone_figure,575643,d028437de1f61aa5f83f578cdad8f181fb872c62a14b10676d4fba613681a676
cluster23_pilot_trajectories/hbbe3_pilot_trajectory.png,original_figures/cluster23_pilot_trajectories/hbbe3_pilot_trajectory.png,EXPLORATORY CLUSTER-23 PILOT,Cluster is not a lineage identity. Mixed blood/non-blood gene trajectories are exploratory and do not validate blood fate.,standalone_figure,253666,0675bf4b6432b0e8f9b12901911faf986cba910b8dbfbb5bfb6f621824832259
cluster23_pilot_trajectories/hbbe3_pilot_trajectory.svg,original_figures/cluster23_pilot_trajectories/hbbe3_pilot_trajectory.svg,EXPLORATORY CLUSTER-23 PILOT,Cluster is not a lineage identity. Mixed blood/non-blood gene trajectories are exploratory and do not validate blood fate.,standalone_figure,85495,65b1b4aea04bc27472a577f1ed985d6347bbfdbba01e0e95127b2d476678088d
cluster23_pilot_trajectories/hbbe3_time_expression_manifold.png,original_figures/cluster23_pilot_trajectories/hbbe3_time_expression_manifold.png,EXPLORATORY CLUSTER-23 PILOT,Cluster is not a lineage identity. Mixed blood/non-blood gene trajectories are exploratory and do not validate blood fate.,standalone_figure,486565,238cecfc6433ec6a9b8a4875de1ac4fbb5bbf6e02fe6cfba1a5abe2010488e41
cluster23_pilot_trajectories/hbbe3_time_expression_manifold.svg,original_figures/cluster23_pilot_trajectories/hbbe3_time_expression_manifold.svg,EXPLORATORY CLUSTER-23 PILOT,Cluster is not a lineage identity. Mixed blood/non-blood gene trajectories are exploratory and do not validate blood fate.,standalone_figure,421044,dbdb522a845cb1d12744f9b50760cc317c437b8f5d9f12c05cd2cd8a6fb4c947
